datetime,signal_vrp_z,signal_skew_z,signal_concavity_z,composite_score,dte,entry_iv,spx_close,tp_pct,kelly_fraction
2020-07-30,0.341147,0.240676,-0.859232,50.6526,25,0.2227,3212.0,50,0.015
2020-07-31,0.184713,0.115528,-0.403195,50.2613,26,0.2099,3241.66,50,0.015
2020-08-03,0.022098,0.2503,-0.832897,49.9193,32,0.2063,3295.98,50,0.015
2020-08-04,-0.134963,0.024662,-0.717168,49.1286,29,0.1953,3299.69,50,0.015
2020-08-05,-0.247032,0.095355,-1.102751,48.6511,28,0.1877,3326.8,50,0.015
2020-08-06,-0.298684,0.045748,-1.028944,48.4386,27,0.1837,3329.73,50,0.015
2020-08-07,-0.397895,0.113731,-1.203667,47.8673,26,0.1752,3344.88,50,0.015
2020-08-10,-0.183275,0.211131,-1.406421,48.4392,25,0.1804,3358.39,50,0.015
2020-08-11,0.295348,0.283014,-1.632251,49.1749,31,0.1804,3363.95,50,0.015
2020-08-12,0.762971,0.369718,-1.843361,49.6429,30,0.1784,3370.04,50,0.015
2020-08-13,0.788183,0.226275,-1.595206,49.4546,29,0.1768,3380.62,50,0.015
2020-08-14,0.797154,0.265236,-1.642823,49.7553,28,0.1799,3367.7,50,0.015
2020-08-17,0.706505,0.20622,-1.244833,50.1009,25,0.1739,3380.86,50,0.015
2020-08-18,0.72803,0.12211,-1.343154,50.2524,27,0.1676,3380.21,50,0.015
2020-08-19,0.691288,0.113855,-1.635609,49.7612,26,0.1644,3392.4,50,0.015
2020-08-20,0.79699,0.235037,-1.192358,50.7648,25,0.1761,3370.76,50,0.015
2020-08-21,1.086386,0.60969,-2.222843,51.2149,31,0.1746,3384.24,50,0.015
2020-08-24,0.941957,0.326547,-1.95248,50.3828,28,0.1697,3421.74,50,0.015
2020-08-25,0.962665,0.5015,-2.538171,50.2589,27,0.1708,3429.13,50,0.015
2020-08-26,0.849856,0.117965,-1.81077,49.7263,26,0.1636,3449.06,50,0.015
2020-08-27,1.226807,0.283488,-2.060189,51.3404,25,0.181,3481.16,50,0.015
2020-08-28,1.447995,0.48984,-2.379546,51.9704,26,0.1948,3489.2,50,0.015
2020-08-31,1.639244,0.670766,-2.758409,52.4235,32,0.1926,3504.2,50,0.015
2020-09-01,1.754113,0.788275,-3.143185,52.7504,31,0.2017,3505.41,50,0.015
2020-09-02,1.680695,0.853371,-2.910193,52.9079,30,0.2007,3543.49,50,0.015
2020-09-03,1.726909,0.702255,-2.95137,52.8229,29,0.2045,3547.64,50,0.015
2020-09-04,1.452079,1.286985,-2.718211,55.2716,28,0.2729,3422.17,50,0.015
2020-09-11,0.456463,0.269007,-1.068527,54.8137,31,0.2322,3347.52,50,0.015
2020-09-14,0.142802,-0.149037,-0.171159,54.5423,28,0.2156,3393.08,50,0.015
2020-09-15,0.052785,-0.231106,-0.497863,53.7158,27,0.2098,3413.76,50,0.015
2020-09-16,0.054857,-0.025718,-0.471904,53.0919,26,0.2099,3412.29,50,0.015
2020-09-17,0.106772,-0.107202,-0.46456,52.4108,25,0.2209,3361.06,50,0.015
2020-09-18,0.014053,-0.105791,-0.312569,52.6529,31,0.213,3357.21,50,0.015
2020-09-21,0.086696,-0.001605,-0.085011,52.8324,28,0.2476,3251.15,50,0.015
2020-09-22,-0.151037,-0.350074,0.50621,52.8022,27,0.2325,3294.92,50,0.015
2020-09-23,-0.282769,-0.353223,0.360908,52.8061,26,0.2236,3307.9,50,0.015
2020-09-24,-0.062253,-0.22278,-0.041296,52.5409,25,0.2442,3250.57,50,0.015
2020-09-25,0.528997,-0.094662,0.654504,52.3677,42,0.2826,3231.02,50,0.015
2020-09-28,-0.286136,-0.18393,0.814613,50.9247,39,0.2605,3344.11,50,0.015
2020-09-29,-0.740526,-0.405168,0.359176,50.9658,29,0.2275,3355.93,50,0.015
2020-09-30,-0.839211,-0.483105,0.973238,47.8251,28,0.2207,3366.62,50,0.015
2020-10-01,-0.702034,-0.376414,0.458384,47.9676,27,0.2267,3372.91,50,0.015
2020-10-02,-0.493447,-0.481494,0.963375,48.648,26,0.2414,3359.98,50,0.015
2020-10-05,0.314319,-0.245249,1.338253,51.4017,32,0.2701,3384.18,50,0.015
2020-10-06,0.252076,-0.26334,1.209566,50.9005,31,0.2618,3412.13,50,0.015
2020-10-07,0.256748,-0.134585,1.150155,51.127,30,0.263,3395.03,50,0.015
